date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:42	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jan%202025%2004:18:42%20GMT	https://www.tesol.org/robots.txt		(from )
11:18:42	64385/64385	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202025%2004:18:42%20GMT	https://www.tesol.org/	C:/My%20Web%20Sites/Tesol/www.tesol.org/index.html	(from )
11:18:42	37503/37503	---M-Z	200	added ('OK')	application/x-javascript	etag:%227911904541561570a48fb1ac6dfede12%22	https://static.adzerk.net/ados.js	C:/My%20Web%20Sites/Tesol/static.adzerk.net/ados.js	(from https://www.tesol.org/)
11:18:44	160355/160355	---M-Z	200	added ('OK')	text/css	etag:%227a9aad5d%22	https://www.tesol.org/sb/sitebuilder-ltr-css-bundle.css.v1	C:/My%20Web%20Sites/Tesol/www.tesol.org/sb/sitebuilder-ltr-css-bundle.css.css	(from https://www.tesol.org/)
11:18:45	331332/331332	---M-Z	200	added ('OK')	text/css	etag:%22f38e459c%22	https://www.tesol.org/sb/sitebuilder-css-bundle.css.v1	C:/My%20Web%20Sites/Tesol/www.tesol.org/sb/sitebuilder-css-bundle.css.css	(from https://www.tesol.org/)
11:18:46	23365/23365	---M-Z	200	added ('OK')	text/css	etag:%22784fa024%22	https://www.tesol.org/sb/sitebuilder-css-small-bundle.css.v1	C:/My%20Web%20Sites/Tesol/www.tesol.org/sb/sitebuilder-css-small-bundle.css.css	(from https://www.tesol.org/)
11:18:47	335181/335181	---M-Z	200	added ('OK')	text/css	etag:%22a1b8b1f6%22	https://www.tesol.org/sb/sitebuilder-css-large-bundle.css.v1	C:/My%20Web%20Sites/Tesol/www.tesol.org/sb/sitebuilder-css-large-bundle.css.css	(from https://www.tesol.org/)
11:18:48	357477/357477	---MCZ	200	added ('OK')	text/css	etag:%221db4a82c9d0a2e5%22	https://www.tesol.org/uSkinned/css/generated/c0d483b5-692b-4773-8979-4e53f7e17caf.css?version=638693591532130000	C:/My%20Web%20Sites/Tesol/www.tesol.org/uSkinned/css/generated/c0d483b5-692b-4773-8979-4e53f7e17cafef92.css	(from https://www.tesol.org/)
11:18:49	2367/2367	---M-Z	200	added ('OK')	text/css	etag:%22cbc6e36a%22	https://www.tesol.org/sb/sitebuilder-css-prnt-bundle.css.v1	C:/My%20Web%20Sites/Tesol/www.tesol.org/sb/sitebuilder-css-prnt-bundle.css.css	(from https://www.tesol.org/)
11:18:50	40890/40890	---MCZ	200	added ('OK')	text/css	etag:%221db4a81d0b0863a%22	https://www.tesol.org/Static/dist/css/calendar.css?version=638693591532130000	C:/My%20Web%20Sites/Tesol/www.tesol.org/Static/dist/css/calendaref92.css	(from https://www.tesol.org/)
